ID_REF	VALUE
R1 - C2 : 7	1.193314759
R1 - C2 : 8	1.869829905
R1 - C2 : 9	0.524761926
R1 - C20 : 1	0.324298466
R1 - C20 : 10	2.072237669
R1 - C20 : 11	73.24726709
R1 - C20 : 12	1.351115174
R1 - C20 : 13	0.232277375
R1 - C20 : 14	1.176691196
R1 - C20 : 15	0.839254466
R1 - C20 : 16	0.841792536
R1 - C20 : 2	1.160458663
R1 - C20 : 3	1.772621152
R1 - C20 : 4	0.724529042
R1 - C20 : 5	0.032179232
R1 - C20 : 6	0.236042693
R1 - C20 : 7	1.324400791
R1 - C20 : 8	0.483265984
R1 - C20 : 9	0.762965062
R1 - C21 : 1	0.418782505
R1 - C21 : 10	0.664370681
R1 - C21 : 11	0.712836634
R1 - C21 : 12	0.392612695
R1 - C21 : 13	0.754242847
R1 - C21 : 14	1.678875032
R1 - C21 : 15	1.458305193
R1 - C21 : 16	1.831187771
R1 - C21 : 2	0.767268282
R1 - C21 : 3	0.706649413
R1 - C21 : 4	0.507851771
R1 - C21 : 5	0.96973044
R1 - C21 : 6	0.707335896
R1 - C21 : 7	1.183913449
R1 - C21 : 8	0.276809284
R1 - C21 : 9	1.025124919
R1 - C22 : 1	0.622639494
R1 - C22 : 10	1.193515791
R1 - C22 : 11	12.110467
R1 - C22 : 12	1.19041538
R1 - C22 : 13	1.213442873
R1 - C22 : 14	0.207961968
R1 - C22 : 15	0.519304469
R1 - C22 : 16	0.724734481
R1 - C22 : 2	0.457442499
R1 - C22 : 3	0.524681725
R1 - C22 : 4	0.692483508
R1 - C22 : 5	0.284293163
R1 - C22 : 6	0.744346455
R1 - C22 : 7	1.083825022
R1 - C22 : 8	0.493364589
R1 - C22 : 9	1.291390596
R1 - C23 : 1	1.711551049
R1 - C23 : 10	0.606106359
R1 - C23 : 11	1.575963204
R1 - C23 : 12	0.333989212
R1 - C23 : 13	1.263342444
R1 - C23 : 14	2.001033303
R1 - C23 : 15	1.663598307
R1 - C23 : 16	1.995326294
R1 - C23 : 2	0.480328988
R1 - C23 : 3	2.578381063
R1 - C23 : 4	0
R1 - C23 : 5	0
R1 - C23 : 6	0.700171173
R1 - C23 : 7	0.423438112
R1 - C23 : 8	1.549170341
R1 - C23 : 9	0.642166379
R1 - C24 : 1	0.613108727
R1 - C24 : 10	0.318211288
R1 - C24 : 11	1.548973662
R1 - C24 : 12	0.153629396
R1 - C24 : 13	0.96160405
R1 - C24 : 14	4.229906346
R1 - C24 : 15	1.071884087
R1 - C24 : 16	1.29823994
R1 - C24 : 2	0.928037551
R1 - C24 : 3	0.470261229
R1 - C24 : 4	0.713095939
R1 - C24 : 5	0.917546648
R1 - C24 : 6	1.631756705
R1 - C24 : 7	1.974605904
R1 - C24 : 8	0.899705091
R1 - C24 : 9	0.430993196
R1 - C3 : 1	1.850073339
R1 - C3 : 10	0.355907838
R1 - C3 : 11	2.656387012
R1 - C3 : 12	0.156736585
R1 - C3 : 13	1.086674689
R1 - C3 : 14	6.093366351
R1 - C3 : 15	0.183725682
R1 - C3 : 16	0
R1 - C3 : 2	1.361540693
