ID_REF	VALUE
R1 - C2 : 7	0.452095845
R1 - C2 : 8	0.84644006
R1 - C2 : 9	0.179356181
R1 - C20 : 1	0.111426296
R1 - C20 : 10	0.33755323
R1 - C20 : 11	0
R1 - C20 : 12	0.31241837
R1 - C20 : 13	0.066880641
R1 - C20 : 14	0.506994209
R1 - C20 : 15	0.192335086
R1 - C20 : 16	0.190518879
R1 - C20 : 2	0.275865072
R1 - C20 : 3	0.327056127
R1 - C20 : 4	0.171208691
R1 - C20 : 5	0.017161341
R1 - C20 : 6	0.069045276
R1 - C20 : 7	0.48767288
R1 - C20 : 8	0.169438498
R1 - C20 : 9	0.249798525
R1 - C21 : 1	0.203060679
R1 - C21 : 10	0.28455365
R1 - C21 : 11	0.155561028
R1 - C21 : 12	0.129432348
R1 - C21 : 13	0.175298867
R1 - C21 : 14	0.389061599
R1 - C21 : 15	0.335996223
R1 - C21 : 16	0.469573421
R1 - C21 : 2	0.220292089
R1 - C21 : 3	0.198834077
R1 - C21 : 4	0.146936315
R1 - C21 : 5	0.406173445
R1 - C21 : 6	0.146967947
R1 - C21 : 7	0.205014161
R1 - C21 : 8	0.105556406
R1 - C21 : 9	0.324142299
R1 - C22 : 1	0.146467148
R1 - C22 : 10	0.592643861
R1 - C22 : 11	0.122168382
R1 - C22 : 12	0.28310825
R1 - C22 : 13	0.352921886
R1 - C22 : 14	0.054569352
R1 - C22 : 15	0.115505549
R1 - C22 : 16	0.187847148
R1 - C22 : 2	0.056596557
R1 - C22 : 3	0.159054225
R1 - C22 : 4	0.268772494
R1 - C22 : 5	0.095294467
R1 - C22 : 6	0.17145695
R1 - C22 : 7	0.255978918
R1 - C22 : 8	0.16904573
R1 - C22 : 9	0.635543352
R1 - C23 : 1	0.143378759
R1 - C23 : 10	0.463788542
R1 - C23 : 11	0.41232528
R1 - C23 : 12	0.08663778
R1 - C23 : 13	0.225644395
R1 - C23 : 14	0.444876462
R1 - C23 : 15	0.433849907
R1 - C23 : 16	0.257295252
R1 - C23 : 2	0.225909735
R1 - C23 : 3	0.686774571
R1 - C23 : 4	0
R1 - C23 : 5	0.070987797
R1 - C23 : 6	0.319436409
R1 - C23 : 7	0.302868379
R1 - C23 : 8	0.401183626
R1 - C23 : 9	0.627818287
R1 - C24 : 1	0.129167355
R1 - C24 : 10	0.112093832
R1 - C24 : 11	0.406164414
R1 - C24 : 12	0.185466013
R1 - C24 : 13	0.235758878
R1 - C24 : 14	0.481806721
R1 - C24 : 15	0.252607155
R1 - C24 : 16	0.383776882
R1 - C24 : 2	0.237490621
R1 - C24 : 3	0.191383283
R1 - C24 : 4	0.17579726
R1 - C24 : 5	0.212509696
R1 - C24 : 6	0.307115015
R1 - C24 : 7	0.602797017
R1 - C24 : 8	0.856198016
R1 - C24 : 9	0.091644367
R1 - C3 : 1	0.468739393
R1 - C3 : 10	0.096709728
R1 - C3 : 11	0.249084829
R1 - C3 : 12	0.074398257
R1 - C3 : 13	0.323034874
R1 - C3 : 14	0.906771589
R1 - C3 : 15	0.053169147
R1 - C3 : 16	0.095408502
R1 - C3 : 2	0.456124585
R1 - C3 : 3	0.136222498
R1 - C3 : 4	0.041652146
R1 - C3 : 5	0.171047594
R1 - C3 : 6	0.113671646
R1 - C3 : 7	0.439683255
R1 - C3 : 8	0.527788071
