ID_REF	VALUE
R1 - C21 : 13	166.13
R1 - C21 : 14	437.09
R1 - C21 : 15	68.65
R1 - C21 : 16	214.16
R1 - C21 : 2	25.39
R1 - C21 : 3	32.17
R1 - C21 : 4	32.18
R1 - C21 : 5	101.70
R1 - C21 : 6	74.78
R1 - C21 : 7	141.66
R1 - C21 : 8	41.21
R1 - C21 : 9	210.66
R1 - C22 : 1	115.37
R1 - C22 : 10	65.41
R1 - C22 : 11	0.00
R1 - C22 : 12	201.35
R1 - C22 : 13	207.02
R1 - C22 : 14	73.94
R1 - C22 : 15	125.87
R1 - C22 : 16	169.72
R1 - C22 : 2	64.43
R1 - C22 : 3	20.48
R1 - C22 : 4	114.40
R1 - C22 : 5	45.37
R1 - C22 : 6	404.64
R1 - C22 : 7	67.12
R1 - C22 : 8	116.61
R1 - C22 : 9	277.42
R1 - C23 : 1	53.49
R1 - C23 : 10	24.85
R1 - C23 : 11	20.81
R1 - C23 : 12	32.25
R1 - C23 : 13	187.88
R1 - C23 : 14	184.02
R1 - C23 : 15	90.01
R1 - C23 : 16	58.62
R1 - C23 : 2	34.49
R1 - C23 : 3	34.84
R1 - C23 : 4	0.00
R1 - C23 : 5	0.00
R1 - C23 : 6	148.95
R1 - C23 : 7	32.19
R1 - C23 : 8	50.92
R1 - C23 : 9	147.97
R1 - C24 : 1	0.00
R1 - C24 : 10	22.84
R1 - C24 : 11	0.00
R1 - C24 : 12	47.04
R1 - C24 : 13	276.45
R1 - C24 : 14	1069.58
R1 - C24 : 15	77.40
R1 - C24 : 16	138.73
R1 - C24 : 2	37.04
R1 - C24 : 3	15.69
R1 - C24 : 4	55.37
R1 - C24 : 5	62.70
R1 - C24 : 6	258.19
R1 - C24 : 7	163.43
R1 - C24 : 8	122.76
R1 - C24 : 9	164.26
R1 - C3 : 1	25.56
R1 - C3 : 10	24.34
R1 - C3 : 11	30.56
R1 - C3 : 12	20.14
R1 - C3 : 13	248.63
R1 - C3 : 14	0.00
R1 - C3 : 15	35.93
R1 - C3 : 16	9.76
R1 - C3 : 2	42.55
R1 - C3 : 3	36.58
R1 - C3 : 4	8.16
R1 - C3 : 5	29.40
R1 - C3 : 6	133.20
R1 - C3 : 7	149.03
R1 - C3 : 8	664.96
R1 - C3 : 9	161.53
R1 - C4 : 1	60.87
R1 - C4 : 10	21.69
R1 - C4 : 11	14.31
R1 - C4 : 12	87.19
R1 - C4 : 13	299.00
R1 - C4 : 14	79.53
R1 - C4 : 15	90.32
R1 - C4 : 16	120.92
R1 - C4 : 2	59.88
R1 - C4 : 3	227.79
R1 - C4 : 4	62.12
R1 - C4 : 5	168.09
R1 - C4 : 6	27.84
R1 - C4 : 7	33.93
R1 - C4 : 8	201.23
R1 - C4 : 9	37.71
R1 - C5 : 1	0.00
R1 - C5 : 10	117.57
R1 - C5 : 11	107.28
R1 - C5 : 12	207.96
R1 - C5 : 13	331.44
R1 - C5 : 14	102.82
R1 - C5 : 15	145.94
R1 - C5 : 16	149.21
R1 - C5 : 2	56.27
R1 - C5 : 3	22.94
R1 - C5 : 4	22.90
R1 - C5 : 5	27.92
R1 - C5 : 6	403.32
R1 - C5 : 7	79.71
R1 - C5 : 8	636.90
R1 - C5 : 9	88.10
R1 - C6 : 1	56.22
R1 - C6 : 10	32.95
R1 - C6 : 11	89.74
R1 - C6 : 12	198.79
R1 - C6 : 13	157.24
R1 - C6 : 14	131.41
R1 - C6 : 15	18.54
R1 - C6 : 16	238.55
R1 - C6 : 2	71.06
R1 - C6 : 3	306.24
R1 - C6 : 4	94.66
R1 - C6 : 5	65.05
R1 - C6 : 6	273.13
R1 - C6 : 7	40.90
R1 - C6 : 8	362.85
R1 - C6 : 9	155.57
R1 - C7 : 1	123.30
R1 - C7 : 10	29.50
R1 - C7 : 11	19.62
R1 - C7 : 12	26.91
R1 - C7 : 13	256.85
R1 - C7 : 14	282.14
R1 - C7 : 15	357.75
R1 - C7 : 16	0.00
R1 - C7 : 2	31.37
R1 - C7 : 3	34.61
R1 - C7 : 4	23.33
R1 - C7 : 5	123.11
R1 - C7 : 6	46.93
R1 - C7 : 7	96.13
R1 - C7 : 8	87.75
R1 - C7 : 9	65.40
R1 - C8 : 1	155.59
R1 - C8 : 10	9.63
R1 - C8 : 11	19.11
R1 - C8 : 12	146.78
R1 - C8 : 13	640.65
R1 - C8 : 14	239.77
R1 - C8 : 15	375.95
R1 - C8 : 16	105.04
R1 - C8 : 2	34.79
R1 - C8 : 3	265.32
R1 - C8 : 4	141.42
R1 - C8 : 5	88.17
R1 - C8 : 6	385.99
R1 - C8 : 7	52.70
R1 - C8 : 8	333.34
R1 - C8 : 9	297.41
R1 - C9 : 1	18.13
R1 - C9 : 10	57.58
R1 - C9 : 11	14.62
R1 - C9 : 12	45.55
R1 - C9 : 13	297.40
R1 - C9 : 14	146.80
R1 - C9 : 15	60.84
R1 - C9 : 16	124.84
R1 - C9 : 2	56.01
R1 - C9 : 3	79.04
R1 - C9 : 4	90.18
R1 - C9 : 5	104.99
R1 - C9 : 6	493.52
R1 - C9 : 7	57.75
R1 - C9 : 8	218.02
R1 - C9 : 9	189.39
R10 - C1 : 1	53.94
R10 - C1 : 10	570.78
R10 - C1 : 11	659.37
R10 - C1 : 12	19.28
R10 - C1 : 13	119.32
R10 - C1 : 14	193.39
R10 - C1 : 15	145.67
R10 - C1 : 16	366.44
R10 - C1 : 2	77.64
R10 - C1 : 3	66.23
R10 - C1 : 4	41.57
R10 - C1 : 5	36.25
R10 - C1 : 6	80.52
R10 - C1 : 7	180.51
R10 - C1 : 8	35.57
R10 - C1 : 9	76.88
R10 - C10 : 1	101.08
R10 - C10 : 10	87.13
R10 - C10 : 11	35.95
R10 - C10 : 12	0.00
R10 - C10 : 13	14.65
R10 - C10 : 14	1171.13
R10 - C10 : 15	139.82
R10 - C10 : 16	0.00
R10 - C10 : 2	16.78
R10 - C10 : 3	127.85
R10 - C10 : 4	36.31
R10 - C10 : 5	39.05
R10 - C10 : 6	109.39
R10 - C10 : 7	331.87
R10 - C10 : 8	25.87
R10 - C10 : 9	0.00
R10 - C11 : 1	59.59
R10 - C11 : 10	30.10
R10 - C11 : 11	10.95
R10 - C11 : 12	9.35
R10 - C11 : 13	52.39
R10 - C11 : 14	387.98
R10 - C11 : 15	42.10
R10 - C11 : 16	16.65
R10 - C11 : 2	37.51
R10 - C11 : 3	112.99
R10 - C11 : 4	53.26
R10 - C11 : 5	23.06
R10 - C11 : 6	20.44
R10 - C11 : 7	48.25
R10 - C11 : 8	38.36
R10 - C11 : 9	28.38
R10 - C12 : 1	229.00
R10 - C12 : 10	43.35
R10 - C12 : 11	98.84
R10 - C12 : 12	221.20
R10 - C12 : 13	39.28
R10 - C12 : 14	328.13
R10 - C12 : 15	0.00
R10 - C12 : 16	138.80
R10 - C12 : 2	13.42
R10 - C12 : 3	133.05
R10 - C12 : 4	204.84
R10 - C12 : 5	107.62
R10 - C12 : 6	165.31
R10 - C12 : 7	112.27
R10 - C12 : 8	0.00
R10 - C12 : 9	10.81
R10 - C13 : 1	27.01
R10 - C13 : 10	880.21
R10 - C13 : 11	26.35
R10 - C13 : 12	29.05
R10 - C13 : 13	17.09
R10 - C13 : 14	140.57
R10 - C13 : 15	23.91
R10 - C13 : 16	79.97
R10 - C13 : 2	85.03
R10 - C13 : 3	76.77
R10 - C13 : 4	38.68
R10 - C13 : 5	22.01
R10 - C13 : 6	135.50
R10 - C13 : 7	35.65
R10 - C13 : 8	99.46
R10 - C13 : 9	40.88
R10 - C14 : 1	53.92
R10 - C14 : 10	153.89
R10 - C14 : 11	206.88
R10 - C14 : 12	49.23
R10 - C14 : 13	14.54
R10 - C14 : 14	392.47
R10 - C14 : 15	82.51
R10 - C14 : 16	35.92
R10 - C14 : 2	69.79
R10 - C14 : 3	459.30
R10 - C14 : 4	58.78
R10 - C14 : 5	65.05
R10 - C14 : 6	11.23
R10 - C14 : 7	393.32
R10 - C14 : 8	53.99
R10 - C14 : 9	101.08
R10 - C15 : 1	150.49
R10 - C15 : 10	75.77
R10 - C15 : 11	38.12
R10 - C15 : 12	18.00
R10 - C15 : 13	79.72
R10 - C15 : 14	283.69
R10 - C15 : 15	29.56
R10 - C15 : 16	94.55
R10 - C15 : 2	125.13
R10 - C15 : 3	0.00
R10 - C15 : 4	24.26
R10 - C15 : 5	14.71
R10 - C15 : 6	111.77
R10 - C15 : 7	176.50
R10 - C15 : 8	40.96
R10 - C15 : 9	62.27
R10 - C16 : 1	104.78
R10 - C16 : 10	21.24
R10 - C16 : 11	56.20
R10 - C16 : 12	182.69
R10 - C16 : 13	21.33
R10 - C16 : 14	59.32
R10 - C16 : 15	335.88
R10 - C16 : 16	44.85
R10 - C16 : 2	61.19
R10 - C16 : 3	0.00
R10 - C16 : 4	116.89
R10 - C16 : 5	175.65
R10 - C16 : 6	87.96
R10 - C16 : 7	96.93
R10 - C16 : 8	31.86
R10 - C16 : 9	26.36
R10 - C17 : 1	43.68
R10 - C17 : 10	86.86
R10 - C17 : 11	37.85
R10 - C17 : 12	60.45
R10 - C17 : 13	74.10
R10 - C17 : 14	190.53
R10 - C17 : 15	63.06
R10 - C17 : 16	92.42
R10 - C17 : 2	44.99
R10 - C17 : 3	31.25
R10 - C17 : 4	53.77
R10 - C17 : 5	30.80
R10 - C17 : 6	182.00
R10 - C17 : 7	80.41
R10 - C17 : 8	109.25
R10 - C17 : 9	16.83
R10 - C18 : 1	68.77
R10 - C18 : 10	34.69
R10 - C18 : 11	24.96
R10 - C18 : 12	55.52
R10 - C18 : 13	36.63
R10 - C18 : 14	291.48
R10 - C18 : 15	503.58
R10 - C18 : 16	201.00
R10 - C18 : 2	301.87
R10 - C18 : 3	78.59
R10 - C18 : 4	389.32
R10 - C18 : 5	76.05
R10 - C18 : 6	51.06
R10 - C18 : 7	117.53
R10 - C18 : 8	68.01
R10 - C18 : 9	87.75
R10 - C19 : 1	26.61
R10 - C19 : 10	34.79
R10 - C19 : 11	142.61
R10 - C19 : 12	14.11
R10 - C19 : 13	17.61
R10 - C19 : 14	297.08
R10 - C19 : 15	18.97
R10 - C19 : 16	39.11
R10 - C19 : 2	290.49
R10 - C19 : 3	491.14
R10 - C19 : 4	50.69
R10 - C19 : 5	37.20
R10 - C19 : 6	145.91
R10 - C19 : 7	12.92
R10 - C19 : 8	27.12
R10 - C19 : 9	25.53
R10 - C2 : 1	183.82
R10 - C2 : 10	92.07
R10 - C2 : 11	204.33
R10 - C2 : 12	0.00
R10 - C2 : 13	40.52
R10 - C2 : 14	124.14
R10 - C2 : 15	105.42
R10 - C2 : 16	120.99
R10 - C2 : 2	55.60
R10 - C2 : 3	316.05
R10 - C2 : 4	65.54
R10 - C2 : 5	36.74
R10 - C2 : 6	74.38
R10 - C2 : 7	150.83
R10 - C2 : 8	33.00
R10 - C2 : 9	45.01
R10 - C20 : 1	119.83
R10 - C20 : 10	45.21
R10 - C20 : 11	36.88
R10 - C20 : 12	137.67
R10 - C20 : 13	12.19
R10 - C20 : 14	139.31
R10 - C20 : 15	32.86
R10 - C20 : 16	98.42
R10 - C20 : 2	77.65
R10 - C20 : 3	121.02
R10 - C20 : 4	36.10
R10 - C20 : 5	150.92
R10 - C20 : 6	77.70
R10 - C20 : 7	64.75
R10 - C20 : 8	187.55
R10 - C20 : 9	76.60
R10 - C21 : 1	108.21
R10 - C21 : 10	57.28
R10 - C21 : 11	32.14
R10 - C21 : 12	23.40
R10 - C21 : 13	35.59
R10 - C21 : 14	46.64
R10 - C21 : 15	91.50
R10 - C21 : 16	578.55
R10 - C21 : 2	15.66
R10 - C21 : 3	125.19
R10 - C21 : 4	118.43
R10 - C21 : 5	84.58
R10 - C21 : 6	31.84
R10 - C21 : 7	22.15
R10 - C21 : 8	0.00
R10 - C21 : 9	21.90
R10 - C22 : 1	143.70
R10 - C22 : 10	137.96
R10 - C22 : 11	77.71
R10 - C22 : 12	93.15
R10 - C22 : 13	15.38
R10 - C22 : 14	283.45
R10 - C22 : 15	177.92
R10 - C22 : 16	188.04
R10 - C22 : 2	14.46
R10 - C22 : 3	257.88
R10 - C22 : 4	55.86
R10 - C22 : 5	82.27
R10 - C22 : 6	119.73
R10 - C22 : 7	0.00
R10 - C22 : 8	46.16
R10 - C22 : 9	148.71
R10 - C23 : 1	129.20
R10 - C23 : 10	68.24
R10 - C23 : 11	19.52
R10 - C23 : 12	67.11
R10 - C23 : 13	0.00
R10 - C23 : 14	245.40
R10 - C23 : 15	31.58
R10 - C23 : 16	159.58
R10 - C23 : 2	133.68
R10 - C23 : 3	216.88
R10 - C23 : 4	94.40
R10 - C23 : 5	134.33
R10 - C23 : 6	32.72
R10 - C23 : 7	511.40
R10 - C23 : 8	120.54
R10 - C23 : 9	11.89
R10 - C24 : 1	30.48
R10 - C24 : 10	100.79
