ORF name,TR change ranking,HL change ranking,responsiveness
YJL136C,3,4,7
YJL151C,2,5,7
YJL156C,3,4,7
YJL158C,4,3,7
YJL183W,5,2,7
YJR011C,2,5,7
YJR015W,4,3,7
YJR017C,2,5,7
YJR045C,5,2,7
YJR047C,3,4,7
YJR066W,3,4,7
YJR100C,2,5,7
YJR105W,2,5,7
YJR110W,3,4,7
YJR134C,4,3,7
YKL040C,3,4,7
YKL066W,2,5,7
YKL085W,4,3,7
YKL092C,3,4,7
YKL141W,4,3,7
YKL142W,4,3,7
YKL149C,4,3,7
YKL172W,5,2,7
YKL178C,4,3,7
YKL181W,4,3,7
YKL192C,3,4,7
YKR008W,4,3,7
YKR025W,4,3,7
YKR037C,5,2,7
YKR042W,4,3,7
YKR049C,2,5,7
YKR053C,4,3,7
YKR088C,2,5,7
YKR093W,2,5,7
YLL053C,3,4,7
YLR028C,3,4,7
YLR038C,4,3,7
YLR078C,2,5,7
YLR103C,5,2,7
YLR134W,4,3,7
YLR135W,3,4,7
YLR143W,2,5,7
YLR186W,5,2,7
YLR192C,5,2,7
YLR206W,4,3,7
YLR208W,3,4,7
YLR243W,5,2,7
YLR250W,2,5,7
YLR278C,2,5,7
YLR286C,5,2,7
YLR305C,5,2,7
YLR306W,4,3,7
YLR374C,4,3,7
YLR378C,2,5,7
YML018C,5,2,7
YML040W,4,3,7
YML081C-A,2,5,7
YML085C,4,3,7
YML092C,4,3,7
YML104C,2,5,7
YMR030W,2,5,7
YMR046C,4,3,7
YMR080C,4,3,7
YMR086C-A,3,4,7
YMR099C,3,4,7
YMR101C,2,5,7
YMR152W,2,5,7
YMR158W,2,5,7
YMR162C,2,5,7
YMR185W,3,4,7
YMR194C-A,4,3,7
YMR195W,5,2,7
YMR205C,5,2,7
YMR226C,3,4,7
YMR319C,5,2,7
YNL010W,3,4,7
YNL023C,4,3,7
YNL055C,2,5,7
YNL061W,5,2,7
YNL080C,4,3,7
YNL088W,3,4,7
YNL104C,3,4,7
YNL110C,5,2,7
YNL123W,2,5,7
YNL140C,4,3,7
YNL153C,5,2,7
YNL154C,5,2,7
YNL155W,3,4,7
YNL181W,4,3,7
YNL240C,4,3,7
YNL252C,4,3,7
YNL284C,2,5,7
YNL287W,3,4,7
YNL290W,3,4,7
YNL323W,4,3,7
YNR052C,2,5,7
YOL043C,2,5,7
YOL063C,3,4,7
YOL094C,5,2,7
YOL106W,5,2,7
YOL109W,4,3,7
YOL123W,4,3,7
YOL136C,5,2,7
YOR061W,3,4,7
YOR067C,3,4,7
YOR084W,5,2,7
YOR091W,5,2,7
YOR093C,3,4,7
YOR112W,4,3,7
YOR127W,2,5,7
YOR145C,5,2,7
YOR163W,4,3,7
YOR165W,5,2,7
YOR194C,4,3,7
YOR219C,2,5,7
YOR225W,5,2,7
YOR232W,2,5,7
YOR247W,3,4,7
YOR249C,3,4,7
YOR285W,2,5,7
YOR286W,3,4,7
YOR294W,3,4,7
YOR311C,3,4,7
YOR332W,3,4,7
YOR370C,4,3,7
YOR388C,4,3,7
YPL042C,3,4,7
YPL043W,5,2,7
YPL085W,3,4,7
YPL086C,5,2,7
YPL117C,4,3,7
YPL127C,2,5,7
YPL135W,4,3,7
YPL190C,3,4,7
YPL215W,2,5,7
YPL225W,4,3,7
YPL227C,3,4,7
YPL239W,2,5,7
YPL264C,3,4,7
YPL266W,4,3,7
YPL267W,4,3,7
YPR011C,2,5,7
YPR036W-A,3,4,7
YPR052C,5,2,7
YPR057W,4,3,7
YPR083W,3,4,7
YPR114W,2,5,7
YPR137W,4,3,7
YPR189W,2,5,7
YAL020C,4,2,6
YAL034W-A,5,1,6
YAL045C,1,5,6
YBL001C,4,2,6
YBL025W,4,2,6
YBL030C,4,2,6
YBL032W,3,3,6
YBL056W,5,1,6
YBL066C,4,2,6
YBL085W,3,3,6
YBR040W,5,1,6
YBR041W,2,4,6
YBR059C,1,5,6
YBR090C,3,3,6
YBR096W,4,2,6
YBR112C,3,3,6
YBR122C,2,4,6
YBR159W,4,2,6
YBR233W,2,4,6
YBR251W,3,3,6
YBR261C,2,4,6
YBR265W,2,4,6
YCL004W,5,1,6
YCL005W-A,5,1,6
YCL011C,5,1,6
YCL021W-A,5,1,6
YCL024W,5,1,6
YCL031C,5,1,6
YCL032W,5,1,6
YCL033C,4,2,6
YCR016W,5,1,6
YCR025C,5,1,6
YCR027C,5,1,6
YCR036W,3,3,6
YCR052W,5,1,6
YCR054C,5,1,6
YDL001W,5,1,6
YDL002C,3,3,6
YDL020C,5,1,6
YDL025C,2,4,6
YDL029W,2,4,6
YDL035C,4,2,6
YDL040C,5,1,6
YDL044C,4,2,6
YDL065C,3,3,6
YDL080C,5,1,6
YDL095W,3,3,6
YDL116W,5,1,6
YDL130W,3,3,6
YDL147W,3,3,6
YDL158C,4,2,6
YDL175C,2,4,6
YDL230W,2,4,6
YDL231C,4,2,6
YDR018C,4,2,6
YDR039C,4,2,6
YDR054C,5,1,6
YDR084C,1,5,6
YDR115W,2,4,6
YDR119W,4,2,6
YDR148C,4,2,6
YDR176W,4,2,6
YDR178W,1,5,6
YDR199W,5,1,6
YDR211W,5,1,6
YDR259C,1,5,6
YDR264C,2,4,6
YDR272W,3,3,6
YDR280W,4,2,6
YDR287W,4,2,6
YDR354W,1,5,6
YDR377W,5,1,6
YDR380W,4,2,6
YDR381W,5,1,6
YDR406W,1,5,6
YDR451C,4,2,6
YDR463W,3,3,6
YDR517W,1,5,6
YDR529C,5,1,6
YEL036C,4,2,6
YEL058W,2,4,6
YEL072W,5,1,6
YER010C,3,3,6
YER011W,5,1,6
YER012W,3,3,6
YER042W,2,4,6
YER066W,5,1,6
YER072W,1,5,6
YER100W,3,3,6
YER125W,5,1,6
YER126C,5,1,6
YER148W,2,4,6
YER187W,4,2,6
YFL017C,5,1,6
YFL067W,5,1,6
YFR001W,2,4,6
YFR024C-A,4,2,6
YFR032C-A,1,5,6
YGL137W,5,1,6
YGL145W,2,4,6
YGL155W,3,3,6
YGL172W,3,3,6
YGL173C,4,2,6
YGL201C,4,2,6
YGL210W,4,2,6
YGL226C-A,2,4,6
YGL226W,2,4,6
YGL242C,1,5,6
YGR020C,1,5,6
YGR024C,4,2,6
YGR042W,3,3,6
YGR052W,4,2,6
YGR054W,4,2,6
YGR056W,3,3,6
YGR081C,5,1,6
YGR093W,2,4,6
YGR094W,3,3,6
YGR101W,3,3,6
YGR108W,5,1,6
YGR113W,4,2,6
YGR136W,3,3,6
YGR137W,1,5,6
YGR163W,2,4,6
YGR181W,1,5,6
YGR195W,4,2,6
YGR205W,5,1,6
YGR229C,4,2,6
YGR232W,3,3,6
YGR271W,2,4,6
YGR277C,3,3,6
YGR283C,2,4,6
YGR284C,1,5,6
YHL030W,5,1,6
YHL031C,3,3,6
YHR001W-A,5,1,6
YHR007C,3,3,6
YHR071W,1,5,6
YHR072W-A,4,2,6
YHR078W,3,3,6
YHR089C,3,3,6
YHR114W,3,3,6
YHR133C,3,3,6
YHR149C,5,1,6
YHR163W,2,4,6
YHR187W,2,4,6
YIL008W,4,2,6
YIL029C,1,5,6
YIL033C,4,2,6
YIL063C,4,2,6
YIL085C,2,4,6
YIL086C,1,5,6
YIL091C,5,1,6
YIL123W,3,3,6
YIL124W,2,4,6
YIL139C,4,2,6
YIL147C,3,3,6
YIR002C,3,3,6
YIR022W,1,5,6
YIR034C,3,3,6
YJL012C,2,4,6
YJL030W,1,5,6
YJL041W,3,3,6
YJL062W-A,2,4,6
YJL082W,4,2,6
YJL111W,5,1,6
YJL129C,4,2,6
YJL144W,1,5,6
YJL154C,1,5,6
YJL207C,4,2,6
YJL217W,3,3,6
YJR014W,4,2,6
YJR040W,3,3,6
YJR098C,3,3,6
YJR118C,3,3,6
YJR119C,4,2,6
YJR130C,2,4,6
YJR135C,1,5,6
YKL004W,5,1,6
YKL023W,1,5,6
YKL029C,4,2,6
YKL032C,5,1,6
YKL034W,4,2,6
YKL067W,1,5,6
YKL072W,5,1,6
YKL106W,4,2,6
YKL125W,4,2,6
YKL146W,4,2,6
YKL190W,2,4,6
YKL207W,2,4,6
YKL210W,2,4,6
YKL214C,4,2,6
YKL218C,1,5,6
YKR033C,2,4,6
YKR035C,2,4,6
YKR080W,2,4,6
YKR083C,4,2,6
YKR086W,2,4,6
YLL011W,5,1,6
YLL023C,3,3,6
YLL030C,5,1,6
YLL041C,4,2,6
YLL042C,4,2,6
YLL050C,2,4,6
YLR013W,4,2,6
YLR032W,1,5,6
YLR056W,2,4,6
YLR067C,4,2,6
YLR071C,4,2,6
YLR094C,5,1,6
YLR118C,2,4,6
YLR146C,3,3,6
YLR174W,4,2,6
YLR183C,5,1,6
YLR215C,4,2,6
YLR224W,3,3,6
YLR227C,5,1,6
YLR283W,4,2,6
YLR310C,4,2,6
YLR312W-A,3,3,6
YLR330W,3,3,6
YLR351C,2,4,6
YLR395C,2,4,6
YLR419W,3,3,6
YLR430W,2,4,6
YLR447C,2,4,6
YML001W,2,4,6
YML015C,2,4,6
YML031W,1,5,6
YML045W,4,2,6
YML094C-A,3,3,6
YML095C,2,4,6
YML129C,2,4,6
YMR005W,2,4,6
YMR062C,1,5,6
YMR064W,3,3,6
YMR065W,4,2,6
YMR072W,4,2,6
YMR074C,2,4,6
YMR091C,3,3,6
YMR107W,3,3,6
YMR163C,2,4,6
YMR230W,1,5,6
YMR231W,3,3,6
YMR236W,1,5,6
YMR244C-A,4,2,6
YMR256C,5,1,6
YMR271C,2,4,6
YMR273C,4,2,6
YMR275C,4,2,6
YMR278W,3,3,6
YMR295C,1,5,6
YMR298W,1,5,6
YMR308C,3,3,6
YMR318C,4,2,6
YNL006W,4,2,6
YNL035C,5,1,6
YNL048W,4,2,6
YNL087W,3,3,6
YNL169C,2,4,6
YNL177C,1,5,6
YNL207W,5,1,6
YNL213C,2,4,6
YNL258C,4,2,6
YNL276C,4,2,6
YNL280C,2,4,6
YNL281W,3,3,6
YNL283C,3,3,6
YNL291C,1,5,6
YNL329C,4,2,6
YNR014W,1,5,6
YNR015W,3,3,6
YNR028W,3,3,6
YNR031C,5,1,6
YNR032W,1,5,6
YNR035C,1,5,6
YNR039C,3,3,6
YNR043W,2,4,6
YNR063W,4,2,6
YOL008W,1,5,6
YOL012C,4,2,6
YOL018C,3,3,6
YOL030W,5,1,6
YOL054W,3,3,6
YOL065C,4,2,6
YOL068C,1,5,6
YOL079W,4,2,6
YOL088C,4,2,6
YOL100W,1,5,6
YOL145C,3,3,6
YOR002W,3,3,6
YOR039W,4,2,6
YOR051C,5,1,6
YOR052C,3,3,6
YOR070C,4,2,6
YOR090C,4,2,6
YOR092W,2,4,6
YOR121C,1,5,6
YOR137C,1,5,6
YOR142W,1,5,6
YOR188W,2,4,6
YOR195W,5,1,6
YOR200W,5,1,6
YOR210W,4,2,6
YOR234C,4,2,6
YOR248W,4,2,6
YOR258W,1,5,6
YOR265W,4,2,6
YOR275C,1,5,6
YOR324C,3,3,6
YOR330C,1,5,6
YOR389W,1,5,6
YPL004C,2,4,6
YPL008W,2,4,6
YPL010W,2,4,6
YPL017C,4,2,6
YPL019C,2,4,6
YPL022W,1,5,6
YPL049C,3,3,6
YPL084W,3,3,6
YPL106C,4,2,6
YPL119C,3,3,6
YPL133C,4,2,6
YPL137C,1,5,6
YPL144W,5,1,6
YPL146C,5,1,6
YPL149W,2,4,6
YPL169C,3,3,6
YPL184C,2,4,6
YPL196W,3,3,6
YPL255W,4,2,6
YPR025C,2,4,6
YPR028W,1,5,6
YPR054W,3,3,6
YPR070W,4,2,6
YPR072W,3,3,6
YPR100W,2,4,6
YPR105C,4,2,6
YPR113W,2,4,6
YPR130C,3,3,6
YPR145W,3,3,6
YPR155C,2,4,6
YAL002W,3,2,5
YAL004W,4,1,5
YAL046C,1,4,5
YAR002C-A,2,3,5
YBL033C,3,2,5
YBL036C,4,1,5
YBL050W,2,3,5
YBL051C,2,3,5
YBL058W,2,3,5
YBL059W,3,2,5
YBL102W,1,4,5
YBR014C,3,2,5
YBR016W,2,3,5
YBR024W,1,4,5
YBR075W,4,1,5
YBR104W,4,1,5
YBR162C,2,3,5
YBR175W,2,3,5
YBR184W,3,2,5
YBR209W,1,4,5
YBR210W,2,3,5
YBR214W,1,4,5
YBR245C,1,4,5
YBR256C,1,4,5
YBR288C,2,3,5
YBR300C,1,4,5
YCL067C,4,1,5
YCR007C,1,4,5
YCR088W,3,2,5
YDL013W,1,4,5
YDL073W,1,4,5
YDL074C,1,4,5
YDL076C,3,2,5
YDL079C,4,1,5
YDL098C,4,1,5
YDL108W,2,3,5
YDL123W,2,3,5
YDL131W,4,1,5
YDL135C,1,4,5
