ID_REF	VALUE
R1 - C21 : 13	127.67
R1 - C21 : 14	219.32
R1 - C21 : 15	52.80
R1 - C21 : 16	75.50
R1 - C21 : 2	42.02
R1 - C21 : 3	32.99
R1 - C21 : 4	30.11
R1 - C21 : 5	78.95
R1 - C21 : 6	70.24
R1 - C21 : 7	114.70
R1 - C21 : 8	34.38
R1 - C21 : 9	100.72
R1 - C22 : 1	56.30
R1 - C22 : 10	62.45
R1 - C22 : 11	0.00
R1 - C22 : 12	60.97
R1 - C22 : 13	132.65
R1 - C22 : 14	122.90
R1 - C22 : 15	76.96
R1 - C22 : 16	53.66
R1 - C22 : 2	23.92
R1 - C22 : 3	35.67
R1 - C22 : 4	136.00
R1 - C22 : 5	16.56
R1 - C22 : 6	210.22
R1 - C22 : 7	59.64
R1 - C22 : 8	105.55
R1 - C22 : 9	216.41
R1 - C23 : 1	16.91
R1 - C23 : 10	17.70
R1 - C23 : 11	9.43
R1 - C23 : 12	8.58
R1 - C23 : 13	155.69
R1 - C23 : 14	116.98
R1 - C23 : 15	58.28
R1 - C23 : 16	8.06
R1 - C23 : 2	12.30
R1 - C23 : 3	20.18
R1 - C23 : 4	0.00
R1 - C23 : 5	0.00
R1 - C23 : 6	134.05
R1 - C23 : 7	17.18
R1 - C23 : 8	41.16
R1 - C23 : 9	93.83
R1 - C24 : 1	8.98
R1 - C24 : 10	23.16
R1 - C24 : 11	6.67
R1 - C24 : 12	22.81
R1 - C24 : 13	108.56
R1 - C24 : 14	203.24
R1 - C24 : 15	47.93
R1 - C24 : 16	19.23
R1 - C24 : 2	82.61
R1 - C24 : 3	4.63
R1 - C24 : 4	35.26
R1 - C24 : 5	42.00
R1 - C24 : 6	128.09
R1 - C24 : 7	57.33
R1 - C24 : 8	74.26
R1 - C24 : 9	101.56
R1 - C3 : 1	22.11
R1 - C3 : 10	13.65
R1 - C3 : 11	18.71
R1 - C3 : 12	12.58
R1 - C3 : 13	14.53
R1 - C3 : 14	0.00
R1 - C3 : 15	13.47
R1 - C3 : 16	4.00
R1 - C3 : 2	29.93
R1 - C3 : 3	23.94
R1 - C3 : 4	2.37
R1 - C3 : 5	20.48
R1 - C3 : 6	49.51
R1 - C3 : 7	46.46
R1 - C3 : 8	310.69
R1 - C3 : 9	52.57
R1 - C4 : 1	41.25
R1 - C4 : 10	20.07
R1 - C4 : 11	8.47
R1 - C4 : 12	50.01
R1 - C4 : 13	79.46
R1 - C4 : 14	40.53
R1 - C4 : 15	60.98
R1 - C4 : 16	49.14
R1 - C4 : 2	30.36
R1 - C4 : 3	147.14
R1 - C4 : 4	24.74
R1 - C4 : 5	262.13
R1 - C4 : 6	74.11
R1 - C4 : 7	15.33
R1 - C4 : 8	45.12
R1 - C4 : 9	22.96
R1 - C5 : 1	5.85
R1 - C5 : 10	54.59
R1 - C5 : 11	42.31
R1 - C5 : 12	101.15
R1 - C5 : 13	112.78
R1 - C5 : 14	61.06
R1 - C5 : 15	83.15
R1 - C5 : 16	49.72
R1 - C5 : 2	33.79
R1 - C5 : 3	2.96
R1 - C5 : 4	9.64
R1 - C5 : 5	23.69
R1 - C5 : 6	84.64
R1 - C5 : 7	57.31
R1 - C5 : 8	328.46
R1 - C5 : 9	78.93
R1 - C6 : 1	46.23
R1 - C6 : 10	15.49
R1 - C6 : 11	49.82
R1 - C6 : 12	132.94
R1 - C6 : 13	59.89
R1 - C6 : 14	49.58
R1 - C6 : 15	65.28
R1 - C6 : 16	89.28
R1 - C6 : 2	62.51
R1 - C6 : 3	113.32
R1 - C6 : 4	56.55
R1 - C6 : 5	22.35
R1 - C6 : 6	51.98
R1 - C6 : 7	23.95
R1 - C6 : 8	86.78
R1 - C6 : 9	179.02
R1 - C7 : 1	57.62
R1 - C7 : 10	58.95
R1 - C7 : 11	6.74
